"Project","Strain","StrainShort","Diet","StrainColors","ID","BW_Week7","BW_Week8","BW_Week9","BW_Week10","BW_Week11","BW_Week12","BW_Week13","BW_Week14","BW_Week15","BW_Week16","BW_Week17","BW_Week18","BW_Week19","BW_Week20","BW_Week21","BW_Week22","BW_Week23","BW_Week24","BW_PercGain_Week7","BW_PercGain_Week8","BW_PercGain_Week9","BW_PercGain_Week10","BW_PercGain_Week11","BW_PercGain_Week12","BW_PercGain_Week13","BW_PercGain_Week14","BW_PercGain_Week15","BW_PercGain_Week16","BW_PercGain_Week17","BW_PercGain_Week18","BW_PercGain_Week19","BW_PercGain_Week20","BW_PercGain_Week21","BW_PercGain_Week22","BW_PercGain_Week23","BW_PercGain_Week24","Liver_Weight","Liver_Percentage","Heart_Weight","Heart_Percentage","scWAT_Weight","scWAT_Percentage","eWAT_Weight","eWAT_Percentage","Spleen_Weight","Spleen_Percentage","Kidney_Weight","Kidney_Percentage","Gastrocnemius_Weight","Gastrocnemius_Percentage","BAT_Weight","BAT_Percentage","Food_intake_CLAMS","BW_loss_CLAMS","VO2_DAY","VCO2_DAY","RER_DAY","EE_DAY","XAMB_DAY","VO2_NIGHT","VCO2_NIGHT","EE_NIGHT","RER_NIGHT","XAMB_NIGHT","BW_EchoMRI","Fat_mass_g","Lean_mass_g","Fat_mass_perc","Lean_mass_perc","BW_ogtt","ogtt_glycemia_t0","ogtt_glycemia_t15","ogtt_glycemia_t30","ogtt_glycemia_t45","ogtt_glycemia_t60","ogtt_glycemia_t90","ogtt_glycemia_t120","ogtt_glycemia_t150","ogtt_glycemia_t180","ogtt_AUC","BW_itt","itt_glycemia_t0","itt_glycemia_t15","itt_glycemia_t30","itt_glycemia_t45","itt_glycemia_t60","itt_AUC","ogtt_insulin_t0","ogtt_insulin_t15","ogtt_insulin_t30","ogtt_insulin_t60","insulin_AUC","ogtt_glp1_t0","ogtt_glp1_t15","ogtt_glp1_t30","ogtt_glp1_t60","glp1_AUC","HOMA_IR","plasma_ASAT","plasma_ALAT","plasma_Cholesterol","plasma_HDL-Cholesterol","plasma_LDL-Cholesterol","plasma_TGL","plasma_Crea","plasma_Urea","ALAT_ASAT_ratio","Urea_Crea_ratio","Fibrosis_perc","Steatosis_perc","Steatosis_score","Ballooning_score","Lobular_inflammation_score","NAS_score","urine_creatinine","urine_glucose","urine_albumin","urine_ACR","plasma_GDF_15","plasma_TIMP_1","plasma_FGF_21","TG_mg_dl","Chol_mg_dl","TG_mg_dl_mg_prot","Chol_mg_dl_mg_prot","ATP","CS_activity","NAD"
"Aim2a_Step1","PWK/PhJ","PWK","CD","#0000FE","HDP-002520",19.96,19.97,19.5,20.5,20.9,21.63,22.55,23.02,23.94,24.8,24.02,24.53,24,23.3,24.27,24.72,23.89,23.6,0,0.0501002004007916,-2.30460921843688,2.70541082164328,4.70941883767534,8.36673346693386,12.9759519038076,15.3306613226453,19.939879759519,24.248496993988,20.3406813627254,22.8957915831663,20.2404809619238,16.7334669338677,21.5931863727455,23.8476953907815,19.689378757515,18.2364729458918,1.0138,4.29576271186441,0.1178,0.499152542372881,1.027,4.35169491525424,0.9627,4.07923728813559,0.04,0.169491525423729,0.2434,1.03135593220339,0.1989,0.842796610169491,0.0565,0.239406779661017,0.740000000000009,2.56,2216.65528736094,1612.41147569514,0.757,10238.7176365851,9292,3812.64709426081,2778.20796015904,17985.1323329585,0.7585,12458,24.53,6.867,13.566,27.993,55.302,22.7,74,249,198,172,123,112,98,94,90,9885,24.55,132,135,144,176,167,885,639.53,1434.75,470.52,1092.87,6858,14.53,NA,NA,NA,NA,2.93432139117201,153,37,3.4,2.995,0.24,1.01,22,6,0.241830065359477,272.727272727273,1.50724857479257,6.504811764,0,0,0,0,13.5,8,0.3,22.2222222222222,41.8627530347015,591.967402086257,2629.56056665666,11.6882262682607,15.8886012676803,0.497371330564287,0.676110692241714,5.76471765117791,1.74584961066783,4113.22428119607
"Aim2a_Step1","PWK/PhJ","PWK","CD","#0000FE","HDP-002521",18.98,19,19.5,20.15,21.48,22.26,22.35,23.06,23.16,23.9,23.47,23.81,23.26,22.3,24.09,25.1,24.52,24.7,0,0.105374077976815,2.73972602739726,6.16438356164383,13.1717597471022,17.2813487881981,17.7555321390938,21.4963119072708,22.0231822971549,25.9220231822971,23.6564805057956,25.4478398314015,22.550052687039,17.4920969441517,26.9230769230769,32.2444678609062,29.1886195995785,30.1369863013699,1.113,4.50607287449393,0.117,0.473684210526316,1.2873,5.21174089068826,1.2409,5.02388663967611,0.0413,0.167206477732794,NA,NA,0.2101,0.850607287449393,0.0467,0.189068825910931,0.569999999999993,2.87,2040.72484302939,1564.44546313274,0.777,9710.71309315441,5727,3148.73590042785,2414.47185642051,14902.5039673279,0.7895,9461,23.81,7.138,12.97,29.978,54.471,22,70,282,198,182,139,105,92,79,71,10830,24.25,135,153,137,141,143,390,371.34,1061.18,1092.87,414.75,31993.5,NA,NA,NA,NA,NA,1.61170224624095,100,60,3.9,3.055,0.23,0.81,20,5,0.6,250,2.50818806417855,7.251255989,0,0,0,0,19.71,9,0.4,20.2942668696093,49.7013561894627,712.321957900231,4590.65505733937,13.8032398097756,18.2261707061859,0.630284922820805,0.832245237725385,8.06552293302656,1.74159531286528,NA
"Aim2a_Step1","PWK/PhJ","PWK","WD","#0000FE","HDP-002530",19.38,22.3,24.35,27.13,29.39,31.08,32.37,33.8,35.3,36.55,36.96,37.64,36.8,35.1,37.6,38.6,38.61,38.6,0,15.0670794633643,25.6449948400413,39.9896800825593,51.6511867905057,60.3715170278638,67.0278637770898,74.406604747162,82.1465428276574,88.5964912280702,90.7120743034056,94.2208462332301,89.8864809081527,81.1145510835914,94.0144478844169,99.1744066047472,99.2260061919505,99.1744066047472,2.9169,7.55673575129534,0.1539,0.398704663212435,3.1073,8.05,2.776,7.19170984455958,0.084,0.217616580310881,0.3217,0.833419689119171,0.2226,0.576683937823834,0.0242,0.0626943005181347,3.94,1.83,2818.95818723703,2192.06477910238,0.787,13264.4066904804,5376,4087.18004908836,3259.22707748948,19619.3922028401,0.7845,18217,37.64,20.379,14.177,54.142,37.665,35.6,125,252,203,215,208,194,158,127,117,10035,38.1,177,195,168,177,186,135,5983.16,8156.89,5454.4,3821.63,16743.15,NA,26.36,17.04,1.04,NA,46.3719829902659,431,386,8.4,7.071,0.65,2.08,16,4,0.895591647331787,250,6.15173636037279,23.69413567,1.5,0,2.5,4,36.26,23,1.2,33.0943188086045,171.474999639434,3692.07933716446,4303.62557242852,12.1532351633899,21.1303448630909,0.510640132915543,0.887829616096256,3.86405241834642,1.37588034209805,1959.77631689478
"Aim2a_Step1","PWK/PhJ","PWK","WD","#0000FE","HDP-002531",19.21,23,25.5,29.18,31.9,33.85,35.49,36.5,37.7,39.3,40.1,41,40.9,39.5,41.35,43.08,42.91,43.1,0,19.7293076522644,32.7433628318584,51.9000520562207,66.0593440916189,76.2103071317022,84.7475273295159,90.0052056220718,96.251952108277,104.580947423217,108.745445080687,113.430504945341,112.909942738157,105.622071837585,115.252472670484,124.258198854763,123.373243102551,124.3623112962,3.8348,8.89744779582367,0.1718,0.39860788863109,2.8885,6.70185614849188,3.247,7.53364269141531,0.1195,0.277262180974478,0.3625,0.841067285382831,0.203,0.470997679814385,0.0755,0.175174013921114,1.34,1.99,2817.35435607265,2135.28090363871,0.762,13478.3166444148,5588,3851.32557695976,3032.40299234959,18295.1780151313,0.797,11551,41,22.884,14.298,55.814,34.873,39.3,121,320,209,202,199,160,156,145,122,10800,42.9,152,185,179,195,183,1545,6750.82,28642.08,6014.17,7283.19,306269.4,14.53,141.74,15.39,NA,NA,50.6473744783051,631,765,9.6,8.743,0.76,1.2,15,3,1.21236133122029,200,9.80995487493707,32.91390991,2,0.5,2.5,5,22.11,17,2.6,117.593848937133,220.088639323201,8432.0089798704,8227.34720567601,13.5809976726344,22.9944024940828,0.63167431035509,1.06950709274804,3.71399989996499,1.56574977008003,4786.43937323039
"Aim2a_Step1","PWK/PhJ","PWK","WD","#0000FE","HDP-002536",17.94,20.5,21.23,23.3,25.7,27.8,29.45,31.06,32.56,33.9,35.06,35.83,36.08,34.3,36.4,37.39,36.84,37.5,0,14.2697881828317,18.3389074693422,29.8773690078038,43.2552954292085,54.9609810479376,64.1583054626533,73.1326644370123,81.4938684503902,88.9632107023411,95.4292084726867,99.7212931995541,101.114827201784,91.1928651059086,102.898550724638,108.416945373467,105.351170568562,109.030100334448,2.0675,5.51333333333333,0.1308,0.3488,2.6213,6.99013333333333,2.6162,6.97653333333333,0.0655,0.174666666666667,0.2876,0.766933333333333,0.217,0.578666666666667,0.0785,0.209333333333333,6.65000000000001,1.03,3109.05159904812,2464.36531429566,0.815,14897.1299175808,6704,5171.00789366765,4431.69829937895,25143.2403015265,0.818,24090,35.83,18.74,13.481,52.304,37.625,34.5,116,360,303,275,236,190,158,143,143,16740,36.47,179,198,195,195,190,765,2956.01,11647.15,3606,3606,149866.8,7.53,64.22,20.13,18.61,1228.35,21.2607669137118,461,447,6.8,6.901,0.5,1.39,12,5,0.969631236442516,416.666666666667,4.07249650680746,20.48656082,1,0,1,2,25.04,17,1.2,47.9233226837061,123.36743629372,2615.2343294397,3987.06206163184,8.45192023572964,16.6981470967306,0.406342319025464,0.802795533496662,3.51392987545641,1.86152876858541,4442.71449707403
"Aim2a_Step1","CAST/EiJ","CAST","WD","#107F40","HDP-002544",15.44,16.5,16.66,17.15,17.6,17.94,17.8,18.3,19.03,19.84,19.79,19.82,18.45,18.6,18.5,18.85,18.68,19.2,0,6.86528497409327,7.90155440414508,11.0751295336788,13.9896373056995,16.1917098445596,15.2849740932643,18.5233160621762,23.2512953367876,28.4974093264249,28.1735751295337,28.3678756476684,19.4948186528497,20.4663212435233,19.8186528497409,22.0854922279793,20.9844559585492,24.3523316062176,0.694,3.64879074658254,0.1067,0.560988433228181,0.3514,1.84752891692955,0.3189,1.67665615141956,0.0306,0.160883280757098,0.2304,1.21135646687697,0.241,1.267087276551,0.0437,0.229758149316509,1.46000000000001,0.600000000000001,2739.29124242037,2159.48749627231,0.8045,13014.659780031,9661,4138.13814453486,3532.29952143598,20075.5069860407,0.8365,27124,19.82,3.974,13.289,20.051,67.05,18.4,82,246,181,136,130,99,91,83,67,7005,18.5,78,96,90,96,90,720,NA,1492.35,326.29,NA,NA,NA,61.22,9.77,NA,NA,NA,186,75,3.6,2.863,1.07,1.36,16,6,0.403225806451613,375,2.33327790104077,2.823097467,NA,NA,NA,NA,68.6,50,NA,NA,17.7960873085224,691.141781941715,175.32278450791,8.13751408634591,29.5862035171868,0.363281878854728,1.32081265701727,8.86580303106087,2.53406528927153,4458.27244676391
"Aim2a_Step1","CAST/EiJ","CAST","WD","#107F40","HDP-002546",16,17.4,17.78,18.23,18.7,18.7,19.05,19.36,20.01,20.67,20.16,20.29,19.2,19,19.01,19.06,19.76,20.06,0,8.74999999999999,11.125,13.9375,16.875,16.875,19.0625,21,25.0625,29.1875,26,26.8125,20,18.75,18.8125,19.125,23.5,25.375,0.6231,3.1061814556331,0.1318,0.657028913260219,0.2562,1.27716849451645,0.3224,1.60717846460618,0.0352,0.175473579262213,0.236,1.17647058823529,0.234,1.16650049850449,0.0294,0.146560319042871,0.230000000000018,4.34,1968.18913393362,1516.59416822538,0.7335,9265.13708150275,1405,2330.78900053649,1700.46833993069,10915.0591471283,0.7185,2218,20.29,3.092,13.175,15.241,64.932,18.7,75,261,188,156,139,128,105,97,78,10770,19.23,143,120,89,80,91,-2100,45.36,3349.26,1071.78,712.82,80351.1,NA,44.97,NA,NA,NA,0.210935340031535,122,38,3.6,2.876,0.91,1.6,16,7,0.311475409836066,437.5,2.24226301457706,2.06905365,0,0,0,0,69.03,33,0.3,4.34593654932638,22.743123169659,920.592453572217,143.554851131563,7.13235386110233,25.4561658175171,0.288759265631673,1.03061400070919,10.0662231781123,2.36015783799605,5123.97785710233
"Aim2a_Step1","C57BL/6J","C57","CD","#000000","HDP-002577",25.4,24.5,24.9,25.5,25.6,26.3,26.8,26.6,27.2,27.8,28.3,27.6,27.6,27,28,28,28.21,29.7,0,-3.54330708661417,-1.96850393700787,0.39370078740158,0.787401574803161,3.54330708661418,5.51181102362206,4.72440944881891,7.08661417322835,9.44881889763781,11.4173228346457,8.66141732283466,8.66141732283466,6.2992125984252,10.2362204724409,10.2362204724409,11.0629921259843,16.9291338582677,1.089,3.66666666666667,0.128,0.430976430976431,0.4248,1.43030303030303,0.6489,2.18484848484849,0.0627,0.211111111111111,0.249,0.838383838383838,0.314,1.05723905723906,0.0462,0.155555555555556,1.39999999999998,2.05,1584.6544439707,1219.58215434707,0.797,7500.2042521028,5614,3262.91716733207,2894.50172487306,16076.6603356719,0.8945,28231,27.6,3.241,19.991,11.744,72.429,26.2,77,268,300,240,187,141,109,108,87,15765,27.5,91,74,82,89,94,-420,400.44,830.06,627.06,664.24,13242.9,15.39,28.28,8.69,7.53,-7.65000000000001,1.91180333988581,53,31,2.3,2.009,0.18,0.56,23,8,0.584905660377358,347.826086956522,3.23954449386085,6.770036221,0,0,0,0,32.83,16,NA,NA,81.1608715040982,1484.11797780511,4774.28941329494,5.05449377384282,12.7850124211587,0.257882335400144,0.652296552099934,6.3149102185765,1.73044237434853,8260.87537024455
"Aim2a_Step1","C57BL/6J","C57","CD","#000000","HDP-002578",22.99,19.9,20,21,21.73,22.5,22.7,23.7,23.8,24.2,24.46,23.44,23.1,22.8,25.4,24.24,22.09,22.38,0,-13.4406263592866,-13.0056546324489,-8.65593736407133,-5.48064375815571,-2.131361461505,-1.26141800782949,3.08829926054807,3.52327098738583,5.26315789473685,6.39408438451502,1.95737277076991,0.478468899521544,-0.826446280991726,10.4828186167899,5.43714658547194,-3.91474554153979,-2.65332753371031,NA,NA,0.1154,0.515638963360143,0.1856,0.829311885612154,0.1658,0.740840035746202,0.0694,0.310098302055407,0.2473,1.10500446827525,0.2551,1.13985701519214,0.046,0.205540661304736,1.73000000000002,0.640000000000001,1831.69031017071,1575.50984720978,0.796,8838.97658090887,10154,3211.86255437277,3017.80585367986,16005.7576056307,0.9655,34605,23.44,2.213,17.857,9.441,76.18,21.7,45,141,139,107,89,77,69,79,67,7800,23.8,73,54,59,60,60,-690,157.14,676.48,953.32,1463.64,31675.5,187.63,39.26,40.33,43.96,-6644.55,0.438444171065547,313,88,0.5,0.448,0.09,0.3,24,4,0.281150159744409,166.666666666667,NA,NA,NA,NA,NA,NA,13.58,11,0.2,14.7275405007364,65.6298552507121,1445.50721368201,3038.8870159245,2.19154727186608,12.3931102798878,0.118462014695464,0.669897852966909,7.86545290851798,2.24421416847946,4294.61080119937
"Aim2a_Step1","C57BL/6J","C57","CD","#000000","HDP-002579",24.57,22.9,24.4,25.44,25.45,25.5,25.6,25.8,26.7,26.9,26.6,26.45,26.15,25.7,27.6,27.86,27.94,28.6,0,-6.7969067969068,-0.691900691900699,3.54090354090354,3.58160358160358,3.78510378510378,4.1921041921042,5.00610500610501,8.66910866910866,9.48310948310948,8.26210826210827,7.65160765160765,6.43060643060642,4.59910459910459,12.3321123321123,13.3903133903134,13.7159137159137,16.4021164021164,1.1178,3.90839160839161,0.1332,0.465734265734266,0.4325,1.51223776223776,0.8381,2.93041958041958,0.0541,0.189160839160839,0.2368,0.827972027972028,0.2678,0.936363636363636,0.0429,0.15,1.87,1.6,1732.38441780822,1403.35792707494,0.791,8173.04933395447,5480,3372.18850725222,3162.38416599516,16777.5216659952,0.957,22483,26.45,3.17,19.222,11.984,72.672,25.1,77,139,135,122,135,116,111,112,109,7455,27.1,109,85,82,101,137,-885,NA,NA,45.36,295.15,NA,28.28,NA,NA,1.04,NA,NA,93,33,2.7,2.55,0.16,0.4,22,9,0.354838709677419,409.090909090909,1.90883778826773,9.142323494,0,0,0,0,39.88,20,NA,NA,81.8414040067781,753.877631810053,5906.51765867067,7.58251479045383,13.2498964783283,0.296191984002103,0.5175740811847,7.61536537788226,1.83099415918403,5908.28619024427
